,movie,size,mean_ratings,weighted_rating,genre 1,genre 2,genre 3,genre 4,genre 5,genre 6
0,"'burbs, The (1989)",303,2.910891089108911,16.632053909106478,Comedy,,,,,
1,...And Justice for All (1979),199,3.71356783919598,19.657046560157788,Drama,Thriller,,,,
2,10 Things I Hate About You (1999),700,3.422857142857143,22.423412118234282,Comedy,Romance,,,,
3,101 Dalmatians (1961),565,3.5964601769911506,22.790141390601008,Animation,Children's,,,,
4,101 Dalmatians (1996),364,3.0467032967032965,17.966878129695452,Children's,Comedy,,,,
5,12 Angry Men (1957),616,4.295454545454546,27.590765366087165,Drama,,,,,
6,"13th Warrior, The (1999)",750,3.1586666666666665,20.91060456836055,Action,Horror,Thriller,,,
7,2 Days in the Valley (1996),286,3.2832167832167833,18.569847239020426,Crime,,,,,
8,20 Dates (1998),139,2.856115107913669,14.093425550020752,Comedy,,,,,
9,"20,000 Leagues Under the Sea (1954)",575,3.7026086956521738,23.52774576844793,Adventure,Children's,Fantasy,Sci-Fi,,
10,200 Cigarettes (1999),181,2.883977900552486,14.99235055425835,Comedy,Drama,,,,
11,2001: A Space Odyssey (1968),1716,4.068764568764569,30.303146525229888,Drama,Mystery,Sci-Fi,Thriller,,
12,2010 (1984),470,3.4170212765957446,21.024018527010195,Mystery,Sci-Fi,,,,
13,28 Days (2000),505,3.0653465346534654,19.080428610927243,Comedy,,,,,
14,"39 Steps, The (1935)",253,4.075098814229249,22.54910894418211,Thriller,,,,,
15,"400 Blows, The (Les Quatre cents coups) (1959)",187,4.320855614973262,22.60286503967116,Drama,,,,,
16,52 Pick-Up (1986),140,3.3,16.3074199946107,Action,Mystery,Thriller,,,
17,54 (1998),259,2.7644787644787643,15.361733174428064,Drama,,,,,
18,"7th Voyage of Sinbad, The (1958)",258,3.616279069767442,20.081051522216548,Action,Adventure,Fantasy,,,
19,8 1/2 (1963),228,4.105263157894737,22.288892582023497,Drama,,,,,
20,8 Heads in a Duffel Bag (1997),145,2.317241379310345,11.532293361746987,Comedy,,,,,
21,8MM (1999),272,2.863970588235294,16.054852241340374,Thriller,,,,,
22,Abbott and Costello Meet Frankenstein (1948),206,3.441747572815534,18.33720487219327,Comedy,Horror,,,,
23,About Last Night... (1986),326,3.1564417177914113,18.26600431112375,Comedy,Drama,Romance,,,
24,"Absent Minded Professor, The (1961)",380,3.4526315789473685,20.50922285149791,Children's,Comedy,Fantasy,,,
25,Absolute Power (1997),380,3.357894736842105,19.94646978545071,Mystery,Thriller,,,,
26,"Abyss, The (1989)",1715,3.6839650145772596,27.435107694433267,Action,Adventure,Sci-Fi,Thriller,,
27,Ace Ventura: Pet Detective (1994),766,3.1488250652741514,20.911920879130946,Comedy,,,,,
28,Ace Ventura: When Nature Calls (1995),389,2.480719794344473,14.793969322858098,Comedy,,,,,
29,Aces: Iron Eagle III (1992),125,1.64,7.918434529175774,Action,War,,,,
30,Action Jackson (1988),185,2.254054054054054,11.766964211122493,Action,Comedy,,,,
31,Addams Family Values (1993),463,2.9071274298056156,17.843154675594107,Comedy,,,,,
32,"Addams Family, The (1991)",714,3.169467787114846,20.826201882037083,Comedy,,,,,
33,Addicted to Love (1997),240,3.1,16.989980662360175,Comedy,Romance,,,,
34,Adventures in Babysitting (1987),541,3.2754158964879854,20.613565549197716,Adventure,Comedy,,,,
35,"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",611,3.3878887070376433,21.733634542528975,Adventure,Comedy,Sci-Fi,,,
36,"Adventures of Milo and Otis, The (1986)",166,3.3674698795180724,17.214464901754866,Children's,,,,,
37,"Adventures of Priscilla, Queen of the Desert, The (1994)",469,3.8059701492537314,23.4090105366239,Comedy,Drama,,,,
38,"Adventures of Robin Hood, The (1938)",378,3.9735449735449735,23.582568999525453,Action,Adventure,,,,
39,"Adventures of Rocky and Bullwinkle, The (2000)",206,2.495145631067961,13.29382694542643,Animation,Children's,Comedy,,,
40,"Affair to Remember, An (1957)",189,3.9523809523809526,20.717381059521447,Romance,,,,,
41,Affliction (1997),198,3.611111111111111,19.0965198330636,Drama,,,,,
42,"African Queen, The (1951)",1057,4.251655629139073,29.605085900190016,Action,Adventure,Romance,War,,
43,After Life (1998),102,4.088235294117647,18.90797708960334,Drama,,,,,
44,Against All Odds (1984),133,3.2481203007518795,15.884442281141334,Romance,,,,,
45,"Age of Innocence, The (1993)",295,3.559322033898305,20.241776692056987,Drama,,,,,
46,Agnes of God (1985),276,3.380434782608696,18.999398578674278,Drama,Mystery,,,,
47,Air America (1990),306,2.7549019607843137,15.7679158200845,Action,Comedy,,,,
48,Air Bud (1997),112,2.4910714285714284,11.754117724029742,Children's,Comedy,,,,
49,Air Force One (1997),1076,3.5882899628252787,25.04987282985743,Action,Thriller,,,,
50,Airheads (1994),245,2.5306122448979593,13.921551389949924,Comedy,,,,,
51,Airplane II: The Sequel (1982),558,2.9802867383512543,18.84840314415792,Comedy,,,,,
